train_date,test_date,mape
2008-1 to 6,2008-7,95.53801291779143
2008-7 to 12,2009-1,102.02887201086473
2009-1 to 6,2009-7,101.27127906833631
2009-7 to 12,2010-1,103.93601924692344
2010-1 to 6,2010-7,94.4519379829824
2010-7 to 12,2011-1,112.61808448680907
2011-1 to 6,2011-7,103.28294744350087
2011-7 to 12,2012-1,86.07736641826995
2012-1 to 6,2012-7,85.77885069869613
2012-7 to 12,2013-1,99.34905564635201
2013-1 to 6,2013-7,96.6933109410614
2013-7 to 12,2014-1,86.09413250656455
2014-1 to 6,2014-7,68.79423603249084
2014-7 to 12,2015-1,109.03358243290276
2015-1 to 6,2015-7,105.7840547318305
avg_mape,min_mape,max_mape
96.71544950435842,68.79423603249084,112.61808448680907
